observation_date,SLOAS
2006-01-01,480966.98
2006-04-01,487126.04
2006-07-01,510548.46
2006-10-01,521382.49
2007-01-01,544988.55
2007-04-01,549270.83
2007-07-01,577380.56
2007-10-01,589489.28
2008-01-01,619315.89
2008-04-01,626605.60
2008-07-01,660584.21
2008-10-01,675952.58
2009-01-01,707226.81
2009-04-01,712319.16
2009-07-01,746522.52
2009-10-01,771699.75
2010-01-01,800069.82
2010-04-01,811148.76
2010-07-01,845804.79
2010-10-01,855483.43
2011-01-01,896848.43
2011-04-01,905157.15
2011-07-01,940339.02
2011-10-01,959823.95
2012-01-01,994279.74
2012-04-01,1011259.92
2012-07-01,1041034.04
2012-10-01,1054565.11
2013-01-01,1092013.85
2013-04-01,1099606.79
2013-07-01,1134180.98
2013-10-01,1145550.75
2014-01-01,1182061.19
2014-04-01,1190488.72
2014-07-01,1226394.05
2014-10-01,1235751.47
2015-01-01,1271844.96
2015-04-01,1278764.93
2015-07-01,1311766.42
2015-10-01,1320248.14
2016-01-01,1358137.44
2016-04-01,1365269.83
2016-07-01,1398573.20
2016-10-01,1405332.16
2017-01-01,1440358.58
2017-04-01,1446680.08
2017-07-01,1479029.56
2017-10-01,1488895.48
2018-01-01,1523343.76
2018-04-01,1530756.57
2018-07-01,1560681.65
2018-10-01,1566903.43
2019-01-01,1597654.09
2019-04-01,1603292.89
2019-07-01,1635131.96
2019-10-01,1637880.70
2020-01-01,1671968.77
2020-04-01,1672503.14
2020-07-01,1696474.62
2020-10-01,1693860.24
2021-01-01,1718706.56
2021-04-01,1719067.50
2021-07-01,1739443.83
2021-10-01,1733415.18
2022-01-01,1747455.51
2022-04-01,1744007.00
2022-07-01,1761742.00
2022-10-01,1764067.41
2023-01-01,1774909.90
2023-04-01,1761243.56
2023-07-01,1732575.34
2023-10-01,1729139.13
2024-01-01,1753333.67
2024-04-01,1741137.84
2024-07-01,1772891.41
2024-10-01,1777101.97
