year,debt_total_billions,tuition_public_4yr,tuition_private_4yr
2006,521.38249,1935.0732490983587,10317.976051835418
2007,589.48928,2017.4448174379659,10935.886340947989
2008,675.95258,2058.483415283933,11788.834460603075
2009,771.69975,2135.6793213583987,12602.167911549832
2010,855.48343,2283.178434609564,12635.784102484453
2011,959.82395,2440.9059599846505,12668.283228817598
2012,1054.56511,2651.129593085997,14078.050399193457
2013,1145.55075,2791.6156294439957,13784.612193921526
2014,1235.75147,2880.5162470773703,14002.501068592066
2015,1320.24814,2954.685406300339,14292.815743791534
2016,1405.33216,3037.7358745773226,14724.370416948279
2017,1488.89548,3156.432123018043,15301.013527665014
2018,1566.9034299999998,3241.674325739264,15788.662241858621
2019,1637.8807,3312.1794903174514,16594.880390274007
2020,1693.86024,3376.908301461599,16895.412517751512
2021,1733.41518,3503.4195890966525,16418.44617824492
2022,1764.0674099999999,3563.4316545064125,18482.900220100008
2023,1729.1391299999998,3597.9968707455873,20019.262016791414
